ResponseId;type;item;value
R_8kHr0dGuVWwnF89;positive;1;learn about other cultures
R_8kHr0dGuVWwnF89;positive;2;fill jobs that are empty by others.
R_8kHr0dGuVWwnF89;positive;3;NA
R_8kHr0dGuVWwnF89;positive;4;NA
R_8kHr0dGuVWwnF89;positive;5;NA
R_8kHr0dGuVWwnF89;negative;1;clashing of culture
R_8kHr0dGuVWwnF89;negative;2;poor economy which should favour UK nationals first.
R_8kHr0dGuVWwnF89;negative;3;NA
R_8kHr0dGuVWwnF89;negative;4;NA
R_8kHr0dGuVWwnF89;negative;5;NA
R_2mrTqB3R5eb7nhZ;positive;1;If they do it through the right means, it's good
R_2mrTqB3R5eb7nhZ;positive;2;Brings new culture
R_2mrTqB3R5eb7nhZ;positive;3;Brings new perspectives
R_2mrTqB3R5eb7nhZ;positive;4;Can give people a better life
R_2mrTqB3R5eb7nhZ;positive;5;NA
R_2mrTqB3R5eb7nhZ;negative;1;It's only bad if it is done illegally
R_2mrTqB3R5eb7nhZ;negative;2;Not paying like they do with legal immigration
R_2mrTqB3R5eb7nhZ;negative;3;NA
R_2mrTqB3R5eb7nhZ;negative;4;NA
R_2mrTqB3R5eb7nhZ;negative;5;NA
R_8knZ4HwcU6JTKHg;positive;1;Increased skillset
R_8knZ4HwcU6JTKHg;positive;2;Cultural diversity
R_8knZ4HwcU6JTKHg;positive;3;NA
R_8knZ4HwcU6JTKHg;positive;4;NA
R_8knZ4HwcU6JTKHg;positive;5;NA
R_8knZ4HwcU6JTKHg;negative;1;Insufficient infrastructure
R_8knZ4HwcU6JTKHg;negative;2;Stretched resources
R_8knZ4HwcU6JTKHg;negative;3;NA
R_8knZ4HwcU6JTKHg;negative;4;NA
R_8knZ4HwcU6JTKHg;negative;5;NA
R_8OpJKZ2ToTgR4Wj;positive;1;Diverse culture
R_8OpJKZ2ToTgR4Wj;positive;2;NHS
R_8OpJKZ2ToTgR4Wj;positive;3;Local communities
R_8OpJKZ2ToTgR4Wj;positive;4;NA
R_8OpJKZ2ToTgR4Wj;positive;5;NA
R_8OpJKZ2ToTgR4Wj;negative;1;Economy is becoming more stretched
R_8OpJKZ2ToTgR4Wj;negative;2;Job market is very competitive
R_8OpJKZ2ToTgR4Wj;negative;3;Growing unrest within the country
R_8OpJKZ2ToTgR4Wj;negative;4;Split political landscape
R_8OpJKZ2ToTgR4Wj;negative;5;Weather
R_2TYtBTEvWEdWHSB;positive;1;multi cultures
R_2TYtBTEvWEdWHSB;positive;2;work force we need, especially in healthcare
R_2TYtBTEvWEdWHSB;positive;3;we should protect people who aren't safe where they came from
R_2TYtBTEvWEdWHSB;positive;4;NA
R_2TYtBTEvWEdWHSB;positive;5;NA
R_2TYtBTEvWEdWHSB;negative;1;some is unregulated
R_2TYtBTEvWEdWHSB;negative;2;NA
R_2TYtBTEvWEdWHSB;negative;3;NA
R_2TYtBTEvWEdWHSB;negative;4;NA
R_2TYtBTEvWEdWHSB;negative;5;NA
